#;Ano Letivo de Previsão de Conclusão;Ano de Conclusão;Ano de Conclusão do Ensino Anterior;Data de Ingresso;Ano de Ingresso;Data da defesa do TCC;Data de Conclusão de Curso;Data de Expedisão do Diploma;Data de Matrícula;Data de Nascimento;Data previsa de defesa do TCC;Deficiência;Descrição do Curso;Estado;Estado Civil;Etnia/Raça;Forma de Ingresso;I.R.A.;Município de Redsidência;Município de Redsidência (Código IBGE);Média Geral no Período;Nacionalidade;Naturalidade;Naturalidade (Código IBGE);Nível de Ensino;Percentual de Progresso;Período de Ingresso;Renda Per Capita;Sexo;Situação no Curso;Situação no Período;Tipo de Escola de Origem;Transporte Escolar: Poder Público;Transporte Escolar: Tipo de Veículo;Transtorno;Zona Residencial;Prática Profissional Pendente;Colação de Grau Pendente;Atividades Complementares Pendente;Carga Horária de TCC Pendente;Carga Horária de Prática Profissional Pendente;Registro de TCC Pendente;Carga Horária de Seminário Pendente;Carga Horária Eletiva Pendente;Carga Horária Optativa Pendente;Carga Horária Obrigatória Pendente;Registro do ENADE;Dias Para Formar;Dias Para Defesa TCC;Idade;Minimo Previsto Para Formar;Maximo Previsto Para Formar;Diferença Dias P/F e D/TCC;Cotista;codigo da cota
450;2025;;2005.0;03/02/2020;2020;;;;12/06/2026;08/06/1988;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AugustinópolisTO;1702554;Graduação;0.0;1;;F;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;37;1096;2192;;Não;AC
117;2020;2022.0;2006.0;30/01/2015;2015;17/12/2021;23/09/2022;;14/07/2025;25/10/1986;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);74.45;PiraquêTO;1717206;0;Brasileira;WanderlândiaTO;1722081;Graduação;100.0;1;;F;Formado;Período Fechado;Pública;;;;Urbana;Não;Não;Não;Não;Não;Não;;Não;Não;Não;Não;2793.0;2513.0;38;1096;2192;280.0;Não;AC
342;2020;2022.0;2010.0;30/01/2015;2015;17/12/2021;23/09/2022;;24/02/2026;27/01/1993;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Parda;PS/Ampla Concorrência (Inativa);74.62;WanderlândiaTO;1722081;0;Brasileira;AraguaínaTO;1702109;Graduação;100.0;1;;F;Formado;Período Fechado;Pública;;;;Urbana;Não;Não;Não;Não;Não;Não;;Não;Não;Não;Não;2793.0;2513.0;32;1096;2192;280.0;Não;AC
446;2025;;2010.0;03/02/2020;2020;;;;08/06/2026;09/12/1992;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;União Estável;Não declarado;PS/Transferência Externa;48.73;AraguaínaTO;1702109;0;Brasileira;Feira de SantanaBA;2910800;Graduação;11.01;2;;M;Cancelamento por Desligamento;Cancelamento por Desligamento;Pública;;;;Urbana;Não;Sim;Sim;;Não;Sim;;Não;Não;Sim;Sim;;;32;1096;2192;;Não;Trans_Ex
454;2025;;2022.0;30/01/2023;2023;;;;16/06/2026;25/04/2005;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;Processo Seletivo/Escola pública, independente de renda (R8);91.11;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;76.0;1;4.84;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;20;1096;2192;;Sim;R8
113;2023;2024.0;2017.0;01/02/2018;2018;21/12/2024;20/05/2025;29/05/2025;10/07/2025;17/10/1999;21/12/2024;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Branca;SISU/Ampla concorrência;80.84;AraguaínaTO;1702109;90;Brasileira;AraguaínaTO;1702109;Graduação;100.0;1;0.53;M;Formado;Período Fechado;Pública;;;;Urbana;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;2665.0;2515.0;25;1096;2192;150.0;Não;AC
456;2021;;2011.0;23/03/2016;2016;;;;18/06/2026;28/01/1992;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;17.43;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;33;1096;2192;;Não;AC
457;2021;;2015.0;23/03/2016;2016;;;;19/06/2026;21/11/1996;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;30.1;1;;F;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;28;1096;2192;;Não;AC
203;2024;;2018.0;28/01/2019;2019;;;;08/10/2025;21/06/2001;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;SISU/Escola Pública, Preto, Pardo ou Indígena, independente de renda;1.0;WanderlândiaTO;1722081;0;Brasileira;AraguaínaTO;1702109;Graduação;0.0;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;24;1096;2192;;Sim;LI_PPI
459;2025;;2019.0;30/01/2023;2023;;;;21/06/2026;11/10/2002;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Ampla Concorrência (AC);85.85;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;73.0;1;0.0;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;23;1096;2192;;Não;AC
