#;Ano Letivo de Previsão de Conclusão;Ano de Conclusão;Ano de Conclusão do Ensino Anterior;Data de Ingresso;Ano de Ingresso;Data da defesa do TCC;Data de Conclusão de Curso;Data de Expedisão do Diploma;Data de Matrícula;Data de Nascimento;Data previsa de defesa do TCC;Deficiência;Descrição do Curso;Estado;Estado Civil;Etnia/Raça;Forma de Ingresso;I.R.A.;Município de Redsidência;Município de Redsidência (Código IBGE);Média Geral no Período;Nacionalidade;Naturalidade;Naturalidade (Código IBGE);Nível de Ensino;Percentual de Progresso;Período de Ingresso;Renda Per Capita;Sexo;Situação no Curso;Situação no Período;Tipo de Escola de Origem;Transporte Escolar: Poder Público;Transporte Escolar: Tipo de Veículo;Transtorno;Zona Residencial;Prática Profissional Pendente;Colação de Grau Pendente;Atividades Complementares Pendente;Carga Horária de TCC Pendente;Carga Horária de Prática Profissional Pendente;Registro de TCC Pendente;Carga Horária de Seminário Pendente;Carga Horária Eletiva Pendente;Carga Horária Optativa Pendente;Carga Horária Obrigatória Pendente;Registro do ENADE;Dias Para Formar;Dias Para Defesa TCC;Idade;Minimo Previsto Para Formar;Maximo Previsto Para Formar;Diferença Dias P/F e D/TCC;Cotista;codigo da cota
1;2027;;2022.0;03/02/2025;2025;;;;20/03/2025;05/02/2005;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;SISU/LB_PPI: Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas;68.88;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;15.0;1;0.86;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;20;1096;2192;;Sim;LB_PPI
2;2027;;2009.0;03/02/2025;2025;;;;21/03/2025;25/11/1992;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Ampla Concorrência (AC);87.96;AraguaínaTO;1702109;0;Brasileira;XambioáTO;1722107;Graduação;15.0;1;1.84;F;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;32;1096;2192;;Não;AC
3;2025;;;30/01/2023;2023;;;;22/03/2025;30/07/2004;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;Processo Seletivo/Ampla Concorrência (AC);85.28;AraguaínaTO;1702109;0;Brasileira;ImperatrizMA;2105302;Graduação;75.0;1;0.61;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;21;1096;2192;;Não;AC
4;2026;;2023.0;25/01/2024;2024;;;;23/03/2025;14/08/2005;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;Processo Seletivo/Escola pública, independente de renda (R8);52.18;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;32.0;1;0.35;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;20;1096;2192;;Sim;R8
5;2025;;2016.0;30/01/2023;2023;;;;24/03/2025;28/06/1999;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Escola Pública, Preto, Pardo ou Indígena, baixa renda (R2);85.81;PiraquêTO;1717206;0;Brasileira;Nova OlindaTO;1714880;Graduação;78.0;1;2.44;M;Matriculado;Matriculado;Pública;Municipal;Kombi Micro-ônibus;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;26;1096;2192;;Sim;R2
6;2027;;2020.0;14/01/2022;2022;;;;25/03/2025;03/06/2003;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);56.21;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;25.35;1;;M;Cancelamento por Desligamento;Cancelamento por Desligamento;Pública;;;;Urbana;Não;Sim;Sim;;Não;Sim;;Não;Não;Sim;Sim;;;22;1096;2192;;Não;AC
7;2022;;2012.0;02/03/2017;2017;;;;26/03/2025;25/07/1994;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;26.95;1;;F;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;31;1096;2192;;Não;AC
8;2021;;2012.0;23/03/2016;2016;;;;27/03/2025;25/04/1984;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Preta;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;CarolinaMA;2102804;Graduação;33.33;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;41;1096;2192;;Não;AC
9;2024;;1997.0;28/01/2019;2019;;;;28/03/2025;27/04/1981;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;19.05;1;;M;Cancelamento por Desligamento;Período Fechado;Privada;;;;Urbana;;;;;;;;;;;;;;44;1096;2192;;Não;AC
10;2027;;2024.0;03/02/2025;2025;;;;29/03/2025;25/12/2006;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;Processo Seletivo/LI_EP: Candidatos que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas;72.97;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;15.0;1;0.54;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;18;1096;2192;;Sim;LI_EP
11;2025;;2022.0;30/01/2023;2023;;;;30/03/2025;08/11/2004;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;Processo Seletivo/Ampla Concorrência (AC);89.3;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;78.0;1;1.42;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;20;1096;2192;;Não;AC
12;2021;;2015.0;23/03/2016;2016;;;;31/03/2025;25/02/1998;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Preta;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;68.24;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;27;1096;2192;;Não;AC
13;2022;;1996.0;02/03/2017;2017;;;;01/04/2025;19/04/1967;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Branca;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;Porto AlegreRS;4314902;Graduação;0.0;1;;M;Cancelamento por Desligamento;Período Fechado;Privada;;;;Urbana;;;;;;;;;;;;;;58;1096;2192;;Não;AC
29;2027;2024.0;2017.0;14/01/2022;2022;23/10/2024;05/02/2025;25/04/2025;17/04/2025;28/11/2003;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Preta;PS/Ampla Concorrência (Inativa);92.52;AraguaínaTO;1702109;97,8;Brasileira;AraguaínaTO;1702109;Graduação;100.0;1;0.65;M;Formado;Período Fechado;Pública;;;;Urbana;Não;Não;Não;Não;Não;Não;;Não;Não;Não;Não;1118.0;1013.0;21;1096;2192;105.0;Não;AC
15;2021;;2006.0;23/03/2016;2016;;;;03/04/2025;03/12/1989;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;TucumaPA;1508084;Graduação;0.0;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;35;1096;2192;;Não;AC
41;2027;2024.0;2020.0;14/01/2022;2022;23/10/2024;20/05/2025;03/06/2025;29/04/2025;11/04/2004;23/10/2024;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;Processo Seletivo/Escola pública, baixa renda (R4);89.5;AraguaínaTO;1702109;97,8;Brasileira;XambioáTO;1722107;Graduação;100.0;1;0.26;F;Formado;Período Fechado;Pública;;;;Urbana;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;1222.0;1013.0;21;1096;2192;209.0;Sim;R4
17;2027;;2024.0;03/02/2025;2025;;;;05/04/2025;17/09/2007;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;Processo Seletivo/Ampla Concorrência (AC);87.18;AraguaínaTO;1702109;0;Brasileira;ImperatrizMA;2105302;Graduação;15.0;1;0.62;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;18;1096;2192;;Não;AC
18;2027;;2018.0;14/01/2022;2022;;;;06/04/2025;18/10/2003;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;PS/Ampla Concorrência (Inativa);88.24;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;92.0;1;0.35;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;21;1096;2192;;Não;AC
19;2028;;2003.0;03/02/2025;2025;;;;07/04/2025;05/06/1986;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Preta;PS/Portador de Diploma;80.0;AraguaínaTO;1702109;0;Brasileira;LoretoMA;2106102;Graduação;1.0;2;;F;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;39;1096;2192;;Sim;Diploma
20;2026;;2017.0;25/01/2024;2024;;;;08/04/2025;13/06/2000;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Parda;Processo Seletivo/Escola Pública, Preto, Pardo ou Indígena, baixa renda (R2);0.0;AraguaínaTO;1702109;0;Brasileira;São Geraldo do AraguaiaPA;1507458;Graduação;;1;;F;Cancelado;Cancelada;Pública;;;;Urbana;;;;;;;;;;;;;;25;1096;2192;;Sim;R2
40;2022;;2014.0;02/03/2017;2017;17/12/2019;20/02/2020;;28/04/2025;14/09/1996;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Escola Pública, Preto, Pardo ou Indígena, baixa renda (R2);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;100.0;1;;F;Concluído;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;1085.0;1020.0;29;1096;2192;65.0;Sim;R2
22;2026;;2011.0;22/02/2021;2021;;;;10/04/2025;16/03/1993;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Escola Pública, Preto, Pardo ou Indígena, baixa renda (R2);77.47;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;49.0;1;1.15;M;Transferido Interno;Transf. Curso;Pública;;;;Urbana;Não;Sim;Sim;;Não;Sim;;Não;Não;Sim;Sim;;;32;1096;2192;;Sim;R2
23;2022;;2011.0;02/03/2017;2017;;;;11/04/2025;23/11/1991;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Preta;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;BelémPA;1501402;Graduação;0.0;1;;M;Cancelamento por Desligamento;Período Fechado;Privada;;;;Urbana;;;;;;;;;;;;;;33;1096;2192;;Não;AC
310;2024;;2012.0;28/01/2019;2019;;;;23/01/2026;14/09/1994;;Baixa Visão;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Amarela;SISU/Candidato com deficiência;1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;0.0;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;31;1096;2192;;Sim;LI_PCD
375;2022;;2016.0;02/03/2017;2017;17/12/2019;20/02/2020;;29/03/2026;24/02/1999;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;ArapiracaAL;2700300;Graduação;100.0;1;;M;Concluído;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;1085.0;1020.0;26;1096;2192;65.0;Não;AC
26;2024;;2015.0;28/01/2019;2019;;;;14/04/2025;30/07/2002;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;15.86;1;;F;Cancelamento por Desligamento;Período Fechado;Privada;;;;Urbana;;;;;;;;;;;;;;23;1096;2192;;Não;AC
455;2022;;2014.0;02/03/2017;2017;17/12/2019;23/10/2020;;17/06/2026;01/03/1998;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;PA;Solteiro;Parda;SISU/Ampla concorrência;1.0;CurionópolisPA;1502772;0;Brasileira;ParauapebasPA;1505536;Graduação;100.0;1;;M;Concluído;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;1331.0;1020.0;27;1096;2192;311.0;Não;AC
28;2025;;;30/01/2023;2023;;;;16/04/2025;16/01/2001;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Ampla Concorrência (AC);87.19;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;58.0;1;1.42;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;24;1096;2192;;Não;AC
74;2026;2024.0;2018.0;22/02/2021;2021;19/12/2023;14/03/2024;10/09/2024;01/06/2025;28/10/1998;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;Processo Seletivo/Escola pública, independente de renda (R8);89.49;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;100.0;1;0.76;M;Formado;Período Fechado;Pública;;;;Urbana;Não;Não;Não;Não;Não;Não;;Não;Não;Não;Não;1116.0;1030.0;26;1096;2192;86.0;Sim;R8
30;2027;;2018.0;14/01/2022;2022;;;;18/04/2025;12/09/2000;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Escola Pública, Preto, Pardo ou Indígena, baixa renda (R2);39.84;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;11.0;1;0.76;M;Cancelamento Compulsório;Cancelamento Compulsório;Pública;;;;Urbana;Não;Sim;Sim;Não;Não;Sim;;Não;Não;Sim;Sim;;;25;1096;2192;;Sim;R2
31;2021;;2009.0;23/03/2016;2016;;;;19/04/2025;23/02/1992;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;0.0;1;;M;Cancelado;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;33;1096;2192;;Não;AC
32;2024;;2001.0;28/01/2019;2019;;;;20/04/2025;09/12/1983;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;15.86;1;;M;Cancelamento por Desligamento;Período Fechado;Privada;;;;Urbana;;;;;;;;;;;;;;41;1096;2192;;Não;AC
33;2022;;2012.0;02/03/2017;2017;;;;21/04/2025;30/12/1994;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Preta;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;3.19;1;;F;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;30;1096;2192;;Não;AC
93;2024;;1998.0;28/01/2019;2019;;;;20/06/2025;03/08/1977;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Parda;PS/Portador de Diploma;1.0;AraguaínaTO;1702109;0;Brasileira;ImperatrizMA;2105302;Graduação;15.86;1;;M;Cancelamento por Desligamento;Período Fechado;Privada;;;;Urbana;;;;;;;;;;;;;;48;1096;2192;;Sim;Diploma
35;2027;;2012.0;03/02/2025;2025;;;;23/04/2025;30/12/1994;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Preta;Processo Seletivo/Ampla Concorrência (AC);85.26;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;15.0;1;1.18;F;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;30;1096;2192;;Não;AC
36;2021;;2015.0;23/03/2016;2016;;;;24/04/2025;03/03/1997;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;Colinas do TocantinsTO;1705508;Graduação;11.1;1;;F;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;28;1096;2192;;Não;AC
37;2022;;2016.0;02/03/2017;2017;;;;25/04/2025;06/05/1999;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;União Estável;Branca;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;15.86;1;;F;Cancelamento por Desligamento;Período Fechado;Privada;;;;Urbana;;;;;;;;;;;;;;26;1096;2192;;Não;AC
38;2021;;2013.0;23/03/2016;2016;;;;26/04/2025;18/10/1997;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Amarela;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;57.14;1;;F;Cancelamento por Desligamento;Período Fechado;Pública;;;;Rural;;;;;;;;;;;;;;27;1096;2192;;Não;AC
39;2025;;2018.0;03/02/2020;2020;;;;27/04/2025;07/03/2000;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Escola pública, baixa renda (R4);1.0;AraguaínaTO;1702109;0;Brasileira;PalmasTO;1721000;Graduação;39.69;1;;F;Transferido Externo;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;25;1096;2192;;Sim;R4
256;2026;;2023.0;25/01/2024;2024;;;;30/11/2025;08/09/2006;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;SISU/Candidatos afrodescendentes residentes em quilombo;87.02;MuricilândiaTO;1713957;0;Brasileira;AraguaínaTO;1702109;Graduação;46.0;1;0.99;M;Matriculado;Matriculado;Pública;Municipal;Ônibus;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;19;1096;2192;;Sim;LI_Q
227;2025;2022.0;2016.0;03/02/2020;2020;20/12/2022;16/03/2023;;01/11/2025;12/10/2001;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;PS/Ampla Concorrência (Inativa);91.3;AraguaínaTO;1702109;0;Brasileira;São Raimundo das MangabeirasMA;2111607;Graduação;100.0;1;;F;Formado;Período Fechado;Pública;;;;Urbana;Não;Não;Não;Não;Não;Não;;Não;Não;Não;Não;1137.0;1051.0;24;1096;2192;86.0;Não;AC
231;2025;2022.0;2019.0;03/02/2020;2020;20/12/2022;16/03/2023;;05/11/2025;11/01/2002;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Ampla Concorrência (Inativa);82.77;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;100.0;1;;M;Formado;Período Fechado;Pública;;;;Urbana;Não;Não;Não;Não;Não;Não;;Não;Não;Não;Não;1137.0;1051.0;23;1096;2192;86.0;Não;AC
43;2027;;2019.0;14/01/2022;2022;;;;01/05/2025;03/09/2001;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;PS/Ampla Concorrência (Inativa);41.72;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;27.0;1;0.5;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;24;1096;2192;;Não;AC
44;2026;;2022.0;25/01/2024;2024;;;;02/05/2025;11/04/2006;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Ampla Concorrência (AC);47.45;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;26.0;1;1.59;M;Matriculado;Matriculado;Privada;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;19;1096;2192;;Não;AC
45;2026;;2004.0;22/02/2021;2021;;;;03/05/2025;28/08/1985;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Viúvo;Branca;PS/Ampla Concorrência (Inativa);1.0;AraguaínaTO;1702109;0;Brasileira;ImperatrizMA;2105302;Graduação;1.57;1;;F;Cancelamento por Desligamento;Cancelamento por Desligamento;Pública;;;;Urbana;;;;;;;;;;;;;;40;1096;2192;;Não;AC
100;2026;;2012.0;25/01/2024;2024;;;;27/06/2025;23/09/1993;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Parda;PS/Portador de Diploma;40.06;AraguaínaTO;1702109;0;Brasileira;XambioáTO;1722107;Graduação;15.0;1;0.32;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;32;1096;2192;;Sim;Diploma
138;2026;;2012.0;22/02/2021;2021;;;;04/08/2025;07/03/1996;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Portador de Diploma;1.0;AraguaínaTO;1702109;0;Brasileira;Novo GamaDF;5215231;Graduação;41.19;1;;M;Cancelamento por Desligamento;Cancelamento por Desligamento;Pública;;;;Urbana;;;;;;;;;;;;;;29;1096;2192;;Sim;Diploma
48;2022;;2001.0;02/03/2017;2017;;;;06/05/2025;31/12/1984;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Branca;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;AnápolisGO;5201108;Graduação;41.24;1;;M;Cancelamento por Desligamento;Período Fechado;Privada;;;;Urbana;;;;;;;;;;;;;;40;1096;2192;;Não;AC
49;2024;;2015.0;28/01/2019;2019;;;;07/05/2025;15/07/1989;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Casado;Branca;SISU/Ampla concorrência;1.0;AraguaínaTO;1702109;0;Brasileira;São Mateus do MaranhãoMA;2111508;Graduação;30.14;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;36;1096;2192;;Não;AC
50;2022;;2011.0;02/03/2017;2017;;;;08/05/2025;09/01/1992;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Escola Pública, Preto, Pardo ou Indígena, baixa renda (R2);1.0;AraguaínaTO;1702109;0;Brasileira;RiachãoMA;2109502;Graduação;25.38;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;33;1096;2192;;Sim;R2
51;2024;;2016.0;28/01/2019;2019;;;;09/05/2025;28/06/1999;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Escola Pública, Preto, Pardo ou Indígena, baixa renda (R2);1.0;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;26.95;1;;M;Cancelamento por Desligamento;Período Fechado;Pública;;;;Urbana;;;;;;;;;;;;;;26;1096;2192;;Sim;R2
52;2026;;2022.0;25/01/2024;2024;;;;10/05/2025;26/09/2005;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;Processo Seletivo/Ampla Concorrência (AC);97.0;AraguaínaTO;1702109;0;Brasileira;FlorianópolisSC;4205407;Graduação;46.0;1;4.43;M;Matriculado;Matriculado;Privada;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;20;1096;2192;;Não;AC
53;2027;;2024.0;03/02/2025;2025;;;;11/05/2025;07/02/2007;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/LI_EP: Candidatos que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas;77.1;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;15.0;1;1.2;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;18;1096;2192;;Sim;LI_EP
54;2027;;2024.0;03/02/2025;2025;;;;12/05/2025;25/08/2006;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;Processo Seletivo/Ampla Concorrência (AC);78.66;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;15.0;1;0.86;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;19;1096;2192;;Não;AC
286;2026;2024.0;2009.0;22/02/2021;2021;21/06/2024;09/10/2024;11/11/2024;30/12/2025;20/02/1989;21/06/2024;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Parda;PS/Portador de Diploma;88.31;AraguaínaTO;1702109;85;Brasileira;RiachãoMA;2109502;Graduação;100.0;1;;M;Formado;Período Fechado;Pública;;;;Urbana;Não;Não;Não;Não;Não;Não;;Não;Não;Não;Não;1325.0;1215.0;36;1096;2192;110.0;Sim;Diploma
56;2025;;2022.0;30/01/2023;2023;;;;14/05/2025;14/12/2004;;;Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas;TO;Solteiro;Branca;Processo Seletivo/Ampla Concorrência (AC);90.99;AraguaínaTO;1702109;0;Brasileira;AraguaínaTO;1702109;Graduação;75.0;1;1.27;M;Matriculado;Matriculado;Pública;;;;Urbana;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;;;20;1096;2192;;Não;AC
